Date,Open,High,Low,Close,Adj Close,Volume
2020-06-30,48.720001,50.139999,48.639999,50.020000,50.020000,2079200
2020-07-01,49.619999,50.040001,49.320000,49.490002,49.490002,1596300
2020-07-02,50.389999,50.660000,49.959999,50.119999,50.119999,1943200
2020-07-06,50.610001,51.770000,50.360001,50.430000,50.430000,3189700
2020-07-07,50.820000,50.849998,49.880001,49.970001,49.970001,2624100
2020-07-08,50.610001,50.619999,49.889999,50.230000,50.230000,2369200
2020-07-09,50.959999,51.799999,50.349998,51.380001,51.380001,2106600
2020-07-10,51.820000,51.990002,50.639999,51.330002,51.330002,1436800
2020-07-13,51.509998,52.689999,51.419998,51.720001,51.720001,5302400
2020-07-14,50.830002,53.410000,50.810001,53.349998,53.349998,4961100
2020-07-15,54.139999,54.910000,53.849998,54.820000,54.820000,3009400
2020-07-16,54.009998,54.340000,53.330002,53.490002,53.490002,3301700
2020-07-17,55.009998,55.220001,54.230000,54.740002,54.740002,2653900
2020-07-20,55.490002,56.279999,54.849998,56.189999,56.189999,2354300
2020-07-21,56.880001,56.970001,55.680000,56.020000,56.020000,2199000
2020-07-22,55.790001,56.639999,55.759998,56.529999,56.529999,1519400
2020-07-23,55.900002,56.590000,55.270000,56.209999,56.209999,2816900
2020-07-24,55.540001,56.439999,55.189999,56.220001,56.220001,1912400
2020-07-27,56.660000,58.020000,56.470001,57.889999,57.889999,2267700
2020-07-28,55.160000,57.340000,54.740002,57.000000,57.000000,3385000
2020-07-29,57.669998,57.840000,57.090000,57.610001,57.610001,2162500
2020-07-30,56.509998,57.250000,55.790001,57.230000,57.230000,1625300
2020-07-31,57.389999,57.540001,56.720001,57.540001,57.540001,1894400
2020-08-03,58.349998,59.040001,57.779999,58.560001,58.560001,1641400
2020-08-04,58.419998,58.910000,58.250000,58.689999,58.689999,1201700
2020-08-05,59.419998,59.830002,59.110001,59.799999,59.799999,1508300
2020-08-06,59.639999,60.180000,59.590000,60.000000,60.000000,1653000
2020-08-07,59.720001,60.000000,58.529999,59.160000,59.160000,1278800
2020-08-10,58.959999,59.060001,56.980000,57.000000,57.000000,2309500
2020-08-11,57.790001,58.250000,56.680000,57.000000,57.000000,2687700
2020-08-12,57.750000,58.740002,57.279999,57.919998,57.919998,2345800
2020-08-13,60.810001,61.400002,59.009998,59.490002,59.490002,5583100
2020-08-14,60.639999,60.650002,59.919998,60.049999,60.049999,2851000
2020-08-17,61.009998,61.599998,60.509998,60.610001,60.610001,6710800
2020-08-18,61.500000,61.730000,60.970001,61.400002,61.400002,3904300
2020-08-19,62.180000,62.959999,61.849998,62.459999,62.459999,4539300
2020-08-20,63.419998,63.740002,62.419998,63.630001,63.630001,5641900
2020-08-21,63.389999,64.129997,63.160000,63.570000,63.570000,3290600
2020-08-24,64.839996,65.269997,64.419998,65.260002,65.260002,3438600
2020-08-25,66.250000,67.110001,65.699997,66.970001,66.970001,3167700
2020-08-26,65.669998,66.470001,65.129997,65.510002,65.510002,5108600
2020-08-27,65.680000,65.779999,63.860001,64.589996,64.589996,3180500
2020-08-28,65.400002,66.190002,65.000000,65.250000,65.250000,2509000
2020-08-31,68.199997,70.110001,66.650002,68.230003,68.230003,19729800
2020-09-01,68.870003,69.400002,67.739998,67.830002,67.830002,5708700
2020-09-02,67.970001,68.269997,65.029999,67.580002,67.580002,5132300
2020-09-03,66.449997,66.790001,64.709999,65.250000,65.250000,4998000
2020-09-04,65.910004,65.959999,63.099998,64.440002,64.440002,6509200
2020-09-08,62.560001,62.680000,60.980000,61.130001,61.130001,6394200
2020-09-09,62.080002,62.730000,61.810001,62.580002,62.580002,2786800
2020-09-10,62.970001,63.119999,60.889999,60.950001,60.950001,2763500
2020-09-11,61.869999,62.509998,61.090000,61.820000,61.820000,2426100
2020-09-14,62.150002,62.990002,62.060001,62.580002,62.580002,1387600
2020-09-15,63.759998,63.759998,62.070000,62.270000,62.270000,3417300
2020-09-16,61.790001,62.410000,61.369999,61.529999,61.529999,2269200
2020-09-17,59.959999,60.939999,59.389999,60.910000,60.910000,2501900
2020-09-18,60.919998,61.500000,60.139999,60.970001,60.970001,2127500
2020-09-21,59.169998,59.619999,58.720001,59.090000,59.090000,2680900
2020-09-22,60.299999,66.339996,58.939999,66.059998,66.059998,11000600
2020-09-23,67.750000,69.599998,64.529999,64.800003,64.800003,8357700
2020-09-24,63.389999,63.790001,61.669998,61.730000,61.730000,3939600
2020-09-25,62.040001,63.450001,61.529999,63.330002,63.330002,3201300
2020-09-28,64.300003,64.529999,63.639999,64.209999,64.209999,1949100
2020-09-29,63.950001,64.769997,63.770000,64.620003,64.620003,1919800
2020-09-30,64.769997,65.459999,64.580002,65.250000,65.250000,1583300
2020-10-01,65.650002,65.790001,63.299999,63.560001,63.560001,2588700
2020-10-02,62.320000,63.619999,62.250000,62.500000,62.500000,1529900
2020-10-05,62.560001,64.000000,62.360001,63.660000,63.660000,1732600
2020-10-06,63.770000,64.010002,61.750000,61.880001,61.880001,2856200
2020-10-07,62.070000,62.259998,60.630001,60.849998,60.849998,2945800
2020-10-08,61.549999,61.590000,60.570000,60.790001,60.790001,2556500
2020-10-09,60.810001,61.950001,60.570000,60.930000,60.930000,2449000
2020-10-12,61.599998,61.880001,60.950001,61.549999,61.549999,1760200
2020-10-13,62.150002,63.009998,61.830002,62.689999,62.689999,1283000
2020-10-14,62.799999,62.889999,61.180000,61.360001,61.360001,1573600
2020-10-15,60.139999,61.040001,59.779999,60.730000,60.730000,1875600
